Bill of Materials,Ultimaker 2,,,,,,,,,,
,,,,,,,,,,,
Total quantity parts,375,,,,,,,,,,
,,,,,,,,,,,
Partnummer,,,Name,,partnummer,Material,,Description,Quantity,Description,
,,,,,,,,,,,
1240,B2P,A,Main Board Electronics Cover,,,,,,1,,
1241,B2P,A,Motor Spacer UM2,,,,,,2,,
1242,B2P,A,Spacer 3.2 x 6x 10,,,,,(rond de M3 schroef),4,,
1243,B2P,A,Heated Bed Cable Clip,,,,,,1,,
,,,,,,,,,,,
,,,ulticontroller,,,,,,,,
1244,B2P,A,Knob Front UM2,,,,,,1,,
1245,B2P,A,Knob Housing UM2,,,,,,1,,
1247,B2P,A,OLED Display UM2,,,,,,1,,
1248,Z1P,A,SD card,,,,,,1,,
1249,B2P,A,Ulticontroller Board,,,,,,1,,
1251,B2P,A,Ulticontroller Electronics Cover,,,,,Ulticontroller cover,1,,
,,,,,,,,,,,
,,,mechanische delen,,,,,,,,
1254,B2P,A,Print Table Mounting Aid,,,,,,3,,
1255,B2P,A,Sliding Block Half UM2,,,,,,8,,
1256,B2P,A,Build Platform Glass Retainer Back,,,,,,4,,
1257,B2P,A,Knurled Nut Platform,,,,,,3,,
,,,,,,,,,,,
,,,Feeder,,,,,,,,
1258,B2P,A,Feeder Part A,,,,,,1,,
1259,B2P,A,Feeder Part B,,,,,,1,,
1260,B2P,A,Feeder Lever A,,,,,,1,,
1261,B2P,A,Feeder Lever B,,,,,,1,,
1263,B2P,A,Feeder Knurled Wheel,,,,,,1,,
1264,B2P,A,Feeder Nut Holder,,,,,,1,,
,,,,,,,,,,,
,,,printkop + behuizing,,,,,,,,
1266,Z2P,A,Bowden tube,,,,,,1,,
1268,Z1P,A,Heater Cartridge 24V 25W,,,,,,1,,
1269,Z1P,A,Power Cable EU Type C13,,,,,,,,
1270,Z1P,A,Power Cable UK Type C13,,,,,,,,
1271,Z1P,A,Power Cable AU Type C13,,,,,,,,
1272,Z1P,A,Power Cable US Type C13,,,,,,,,
,,,,,,,,,,,
1273,B2P,A,Cable Cover,,,,,,2,,
,,,,,,,,,,,
1275,Z1P,A,Serial number sticker,,,,,,1,,
,,,,,,,,,,,
1280,Z2P,A,Braided Sleeve,,,,,,1,,
1281,B2P,A,Braided Sleeve Clip,,,,,,5,,
,,,,,,,,,,,
1287,Z1P,A,Washer M7,S1287-Z1P-A,B1287-Z1P-A,,,,1,,
1288,Z1P,A,Washer M6,,,,,,3,,
1290,B2P,A,Filament guide,,,,,,1,,
,,,,,,,,,,,
,,,hot-end,,,,,,,,
1301,Z2P,D,Integrated nozzle heater block 3mm filament,,,,,,1,,
,,,,,,,,,,,
,,,,,,,,,,,
1306,Z2P,B,Hot end holder bottom,,,,,,1,,
1307,Z2P,B,Hot end holder top,,,,,,1,,
1308,Z2P,B,Cooling Rib Hot End,,,,,,1,,
1309,Z2P,A,PTFE Isolator Coupler 3.2 mm,,,,,,1,,
1310,Z2P,A,Hot end Isolator,,,,,,1,,
1311,Z2P,A,Spring D2000,,,,,,1,,
1313,Z1P,A,Model Cooling Fan 12VDC 0.1 A,,,,,,2,,
,,,,,,,,,,,
1330,B2P,A,Hot-end Cooling Fan 5VDC 0.08A,,,,,,1,,
1329,B2P,A,Dual fan bracket,,,,,,1,,
1320,B2P,A,Print Head Top,,,,,,1,,
1321,B2P,A,Print Head Middle,,,,,,1,,
1322,B2P,A,Print Head Bottom,,,,,,1,,
,,,,,,,,,,,
1325,Z1P,A,Insert material sticker,,,,,,1,,
1326,Z1P,A,Warning sticker,,,,,,,,
1315,Z1P,A,Jumper,,,,,,2,,
,,,,,,,,,,,
1348,B2P,A,ISO 7380 M3x4 A2,,,,,,4,,
1351,Z1P,A,"ISO 4762 M2,5x10",,,,,,2,,
1352,Z1P,A,Set Screw M3x14,,,,,,1,,
1354,Z1P,A,ISO 724 Hex nut M7,S 1354-Z1P-A,B1354-Z1P-A,,,,1,DIN 13 en ISO 724,"Low Profile Hex Nut M7x0.75, 10x2mm"
1358,Z1P,A,chipboard panel screw 2.5x16,,,,,,8,,
,,,,,,,,,,,
1400,Z1P,A,Hex Key Wrench 1.5,,,,,,1,,
1401,Z1P,A,Hex Key Wrench 2,,,,,,1,,
1402,Z1P,A,Hex Key Wrench 2.5,,,,,,1,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,dezen zitten er aan te komen (openen van de regels),,,,,,,,
1242,B2P,A,Spacer 3.2 x 5of6x 10,,,,,,4,,
1286,B2P,A,Sticker adapter,,,,,,1,,
1285,Z1P,A,Acupunture needle,,,,,,2,,
1289,Z1P,A,USB reader,,,,,,1,,
